time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
550465,341400,0.26604666666666654,3.95,26,20913,9.09,18.14204216003418,0.001,75116
550824,341500,0.265568,3.59,26,20922,7.65,15.540876388549805,0.001,75205
551203,341600,0.26506266666666667,3.79,26,20932,9.22,1.4352506399154663,0.001,75300
551576,341700,0.2645653333333333,3.73,26,20941,8.82,2.3779242038726807,0.001,75393
551924,341800,0.2641013333333333,3.48,26,20950,7.56,1.3499072790145874,0.001,75480
552311,341900,0.26358533333333334,3.87,26,20960,8.73,3.1841001510620117,0.001,75577
552704,342000,0.26306133333333337,3.93,26,20969,9.91,12.421627044677734,0.001,75675
553115,342100,0.2625133333333334,4.11,26,20979,10.24,1.568666696548462,0.001,75778
553515,342200,0.2619799999999999,4.0,26,20989,9.74,9.45622730255127,0.001,75878
553866,342300,0.26151199999999997,3.51,26,20998,7.99,2.953958511352539,0.001,75966
554252,342400,0.2609973333333333,3.86,26,21008,10.66,6.288849353790283,0.001,76062
554596,342500,0.2605386666666667,3.44,26,21017,6.69,8.024371147155762,0.001,76148
555016,342600,0.2599786666666666,4.2,26,21027,11.78,13.937891006469727,0.001,76253
555367,342700,0.25951066666666667,3.51,26,21036,7.13,14.930009841918945,0.001,76341
555721,342800,0.25903866666666664,3.54,26,21045,8.13,3.107628345489502,0.001,76430
556118,342900,0.2585093333333335,3.97,26,21055,9.76,3.5616447925567627,0.001,76529
556525,343000,0.2579666666666667,4.07,26,21064,10.71,8.418712615966797,0.001,76631
556959,343100,0.25738799999999995,4.34,26,21075,12.03,12.686568260192871,0.001,76739
557330,343200,0.2568933333333332,3.71,26,21084,10.93,7.023811340332031,0.001,76832
557716,343300,0.25637866666666653,3.86,26,21094,9.64,10.816774368286133,0.001,76928
558164,343400,0.2557813333333332,4.48,26,21104,13.77,8.408044815063477,0.001,77040
558530,343500,0.25529333333333337,3.66,26,21114,9.35,1.3696386814117432,0.001,77132
558944,343600,0.2547413333333335,4.14,26,21124,10.33,14.670287132263184,0.001,77235
559304,343700,0.25426133333333345,3.6,26,21134,7.69,8.17451000213623,0.001,77325
559720,343800,0.2537066666666665,4.16,26,21144,10.73,3.3884384632110596,0.001,77429
560122,343900,0.25317066666666665,4.02,26,21154,10.62,2.4541845321655273,0.001,77530
560527,344000,0.25263066666666667,4.05,26,21163,10.72,6.9801506996154785,0.001,77631
560891,344100,0.25214533333333344,3.64,26,21172,8.18,6.184580326080322,0.001,77722
561289,344200,0.25161466666666676,3.98,26,21182,10.14,7.418338298797607,0.001,77822
561693,344300,0.25107599999999985,4.04,26,21192,10.43,2.235666513442993,0.001,77923
562137,344400,0.25048400000000015,4.44,26,21202,13.04,6.936952114105225,0.001,78034
562541,344500,0.24994533333333324,4.04,26,21212,10.48,1.8497287034988403,0.001,78135
562913,344600,0.2494493333333332,3.72,26,21221,9.21,7.259039402008057,0.001,78228
563314,344700,0.24891466666666662,4.01,26,21231,10.15,16.69744110107422,0.001,78328
563768,344800,0.24830933333333327,4.54,26,21241,11.99,9.699145317077637,0.001,78441
564138,344900,0.24781600000000004,3.7,26,21251,8.44,3.2659478187561035,0.001,78534
564568,345000,0.24724266666666672,4.3,26,21261,11.5,3.9139227867126465,0.001,78641
